,index,metric,country,value
454,470,co2_per_capita,Burundi,0.021349926
455,471,co2_per_capita,Cambodia,0.308073152
456,472,co2_per_capita,Cameroon,0.268091793
457,473,co2_per_capita,Canada,14.13581338
458,474,co2_per_capita,Cape Verde,0.859061433
459,475,co2_per_capita,Cayman Islands,10.30493107
460,476,co2_per_capita,Central African Republic,0.063127814
461,477,co2_per_capita,Chad,0.043830424
462,479,co2_per_capita,Chile,4.61644538
463,480,co2_per_capita,China,6.710301991
464,481,co2_per_capita,Colombia,1.560629099
465,482,co2_per_capita,Comoros,0.220233473
466,483,co2_per_capita,Dem. Rep. Congo,0.050302688
467,484,co2_per_capita,"Congo, Rep.",0.538098379
468,485,co2_per_capita,Costa Rica,1.704974495
469,486,co2_per_capita,Cote d'Ivoire,0.312877703
470,487,co2_per_capita,Croatia,4.801530011
471,488,co2_per_capita,Cuba,3.172315091
472,490,co2_per_capita,Cyprus,6.735375823
473,491,co2_per_capita,Czech Republic,10.43108813
474,492,co2_per_capita,Denmark,7.248328717
475,493,co2_per_capita,Djibouti,0.561940931
476,494,co2_per_capita,Dominica,1.746141565
477,495,co2_per_capita,Dominican Republic,2.182907888
478,496,co2_per_capita,Ecuador,2.354017387
479,497,co2_per_capita,Egypt,2.635115225
480,498,co2_per_capita,El Salvador,1.103998574
481,499,co2_per_capita,Equatorial Guinea,8.907241536
482,500,co2_per_capita,Eritrea,0.108718365
483,501,co2_per_capita,Estonia,14.04988252
484,502,co2_per_capita,Ethiopia,0.083943117
485,503,co2_per_capita,Faroe Islands,11.72121175
486,504,co2_per_capita,Fiji,1.424813248
487,505,co2_per_capita,Finland,10.1640461
488,506,co2_per_capita,France,5.185043424
489,507,co2_per_capita,French Polynesia,3.167952684
490,508,co2_per_capita,Gabon,1.418165749
491,509,co2_per_capita,Gambia,0.241098417
492,510,co2_per_capita,Georgia,2.046895742
493,511,co2_per_capita,Germany,8.917832846
494,512,co2_per_capita,Ghana,0.404379798
495,513,co2_per_capita,Greece,7.568519083
496,514,co2_per_capita,Greenland,12.44034101
497,515,co2_per_capita,Grenada,2.408137432
498,516,co2_per_capita,Guam,
499,517,co2_per_capita,Guatemala,0.748055056
500,518,co2_per_capita,Guinea,0.229423425
501,519,co2_per_capita,Guinea-Bissau,0.146810683
502,520,co2_per_capita,Guyana,2.357722028
503,521,co2_per_capita,Haiti,0.217962048
504,522,co2_per_capita,Honduras,1.103745053
505,523,co2_per_capita,Hong Kong,5.695268539
506,524,co2_per_capita,Hungary,4.862989931
507,525,co2_per_capita,Iceland,5.896828979
508,526,co2_per_capita,India,1.662873483
509,527,co2_per_capita,Indonesia,2.303780983
510,528,co2_per_capita,Iran,7.802145093
511,529,co2_per_capita,Iraq,4.194045154
512,530,co2_per_capita,Ireland,7.880759326
513,531,co2_per_capita,Isle of Man,
514,532,co2_per_capita,Israel,8.952413531
515,533,co2_per_capita,Italy,6.702557614
516,534,co2_per_capita,Jamaica,2.872655693
517,535,co2_per_capita,Japan,9.291834303
518,536,co2_per_capita,Jordan,3.292524922
519,537,co2_per_capita,Kazakhstan,15.81009754
520,538,co2_per_capita,Kenya,0.327569171
521,539,co2_per_capita,Kiribati,0.595622098
522,540,co2_per_capita,Dem. Rep. Korea,2.987182112
523,541,co2_per_capita,Korea,11.84075687
524,542,co2_per_capita,Kosovo,
525,543,co2_per_capita,Kuwait,28.10266175
526,544,co2_per_capita,Kyrgyzstan,1.199591629
527,545,co2_per_capita,Lao PDR,0.188910506
528,546,co2_per_capita,Latvia,3.786801437
529,547,co2_per_capita,Lebanon,4.461863346
530,548,co2_per_capita,Lesotho,1.082269608
531,549,co2_per_capita,Liberia,0.218425012
532,550,co2_per_capita,Libya,6.204914344
533,551,co2_per_capita,Liechtenstein,1.405096204
534,552,co2_per_capita,Lithuania,4.537558514
535,553,co2_per_capita,Luxembourg,20.8978117
536,554,co2_per_capita,Macao,2.133060902
537,555,co2_per_capita,Macedonia,4.519210141
538,556,co2_per_capita,Madagascar,0.112992805
539,557,co2_per_capita,Malawi,0.079231485
540,558,co2_per_capita,Malaysia,7.898823573
541,559,co2_per_capita,Maldives,2.927763926
542,560,co2_per_capita,Mali,0.079956379
543,561,co2_per_capita,Malta,6.034321639
544,562,co2_per_capita,Marshall Islands,1.954207191
545,563,co2_per_capita,Mauritania,0.627225464
546,564,co2_per_capita,Mauritius,3.127070817
547,565,co2_per_capita,Mexico,3.876107611
548,566,co2_per_capita,Micronesia,1.240335923
549,567,co2_per_capita,Moldova,1.398821793
550,568,co2_per_capita,Monaco,
551,569,co2_per_capita,Mongolia,6.915146531
552,570,co2_per_capita,Montenegro,4.145547583
553,571,co2_per_capita,Morocco,1.737915547
554,572,co2_per_capita,Mozambique,0.131189805
555,573,co2_per_capita,Myanmar,0.200285212
556,574,co2_per_capita,Namibia,1.239160489
557,575,co2_per_capita,Nepal,0.159474455
558,576,co2_per_capita,Netherlands,10.06448974
559,577,co2_per_capita,New Caledonia,15.17329528
560,578,co2_per_capita,New Zealand,7.124050867
561,579,co2_per_capita,Nicaragua,0.843541955
562,580,co2_per_capita,Niger,0.083958178
563,581,co2_per_capita,Nigeria,0.53749756
564,582,co2_per_capita,Northern Mariana Islands,
565,583,co2_per_capita,Norway,9.192879069
566,584,co2_per_capita,Oman,20.20389451
567,585,co2_per_capita,Pakistan,0.941171125
568,586,co2_per_capita,Palau,10.85543046
569,587,co2_per_capita,Panama,2.625276244
570,588,co2_per_capita,Papua New Guinea,0.746895234
571,589,co2_per_capita,Paraguay,0.841915242
572,590,co2_per_capita,Peru,1.783233144
573,591,co2_per_capita,Philippines,0.867845343
574,592,co2_per_capita,Poland,8.335786706
575,593,co2_per_capita,Portugal,4.709849624
576,594,co2_per_capita,Puerto Rico,
577,595,co2_per_capita,Qatar,44.01892637
578,596,co2_per_capita,Romania,4.210560124
579,597,co2_per_capita,Russia,12.64732823
580,598,co2_per_capita,Rwanda,0.062874197
581,599,co2_per_capita,Samoa,1.252110076
582,600,co2_per_capita,San Marino,
583,601,co2_per_capita,Sao Tome and Principe,0.587909256
584,602,co2_per_capita,Saudi Arabia,18.07245072
585,603,co2_per_capita,Senegal,0.58833415
586,604,co2_per_capita,Serbia,6.799114997
587,605,co2_per_capita,Seychelles,6.835706362
588,606,co2_per_capita,Sierra Leone,0.152044168
589,607,co2_per_capita,Singapore,4.320161437
590,609,co2_per_capita,Slovakia,6.367545917
591,610,co2_per_capita,Slovenia,7.504259702
592,611,co2_per_capita,Solomon Islands,0.368304169
593,612,co2_per_capita,Somalia,0.05870688
594,613,co2_per_capita,South Africa,9.25784875
595,614,co2_per_capita,South Sudan,
596,615,co2_per_capita,Spain,5.790764234
597,616,co2_per_capita,Sri Lanka,0.751490775
598,617,co2_per_capita,St. Kitts and Nevis,5.050964187
599,618,co2_per_capita,Saint Lucia,2.270423588
600,621,co2_per_capita,Sudan,0.349548724
601,622,co2_per_capita,Suriname,3.649913361
602,623,co2_per_capita,Swaziland,0.864988313
603,624,co2_per_capita,Sweden,5.518421481
604,625,co2_per_capita,Switzerland,4.625229924
605,626,co2_per_capita,Syria,2.813054935
606,627,co2_per_capita,Tajikistan,0.35894763
607,628,co2_per_capita,Tanzania,0.1549349
608,629,co2_per_capita,Thailand,4.534491734
609,630,co2_per_capita,Timor-Leste,0.16364808
610,631,co2_per_capita,Togo,0.319443622
611,632,co2_per_capita,Tonga,0.983561959
612,633,co2_per_capita,Trinidad and Tobago,37.14005424
613,634,co2_per_capita,Tunisia,2.402455639
614,635,co2_per_capita,Turkey,4.364167326
615,636,co2_per_capita,Turkmenistan,12.18366658
616,637,co2_per_capita,Turks and Caicos Islands,6.010149084
617,639,co2_per_capita,Uganda,0.110886576
618,640,co2_per_capita,Ukraine,6.262351962
619,641,co2_per_capita,United Arab Emirates,20.43383762
620,642,co2_per_capita,United Kingdom,7.085732086
